,id_produto,nome_produto,categoria,preco
0,1,Notebook Gamer,Notebooks,5400
1,2,Mouse Óptico,Mouses,120
2,3,Teclado Mecânico,Teclados,350
3,4,"Monitor LED 27""",Monitores,1500
4,5,HD Externo 1TB,Armazenamento,450
5,6,SSD 480GB,Armazenamento,600
6,7,Placa de Vídeo RTX 3080,Componentes,7000
7,8,Fonte 650W,Componentes,400
8,9,Gabinete Gamer,Acessórios,350
9,10,Headset Bluetooth,Acessórios,250
10,11,Webcam Full HD,Acessórios,300
11,12,Processador Ryzen 7,Componentes,2000
12,13,Memória RAM 16GB,Componentes,800
13,14,Cooler para CPU,Componentes,120
14,15,Mousepad Gamer,Acessórios,60
15,16,Cadeira Gamer,Acessórios,700
16,17,Microfone Condensador,Acessórios,400
17,18,Placa-Mãe B450,Componentes,1000
18,19,Pendrive 64GB,Armazenamento,100
19,20,Roteador Wi-Fi,Redes,200
20,21,Notebook Gamer,Notebooks,5400
21,22,Mouse Óptico,Mouses,120
22,23,Teclado Mecânico,Teclados,350
23,24,"Monitor LED 27""",Monitores,1500
24,25,HD Externo 1TB,Armazenamento,450
25,26,SSD 480GB,Armazenamento,600
26,27,Placa de Vídeo RTX 3080,Componentes,7000
27,28,Fonte 650W,Componentes,400
28,29,Gabinete Gamer,Acessórios,350
29,30,Headset Bluetooth,Acessórios,250
30,31,Webcam Full HD,Acessórios,300
31,32,Processador Ryzen 7,Componentes,2000
32,33,Memória RAM 16GB,Componentes,800
33,34,Cooler para CPU,Componentes,120
34,35,Mousepad Gamer,Acessórios,60
35,36,Cadeira Gamer,Acessórios,700
36,37,Microfone Condensador,Acessórios,400
37,38,Placa-Mãe B450,Componentes,1000
38,39,Pendrive 64GB,Armazenamento,100
39,40,Roteador Wi-Fi,Redes,200
40,41,Notebook Gamer,Notebooks,5400
41,42,Mouse Óptico,Mouses,120
42,43,Teclado Mecânico,Teclados,350
43,44,"Monitor LED 27""",Monitores,1500
44,45,HD Externo 1TB,Armazenamento,450
45,46,SSD 480GB,Armazenamento,600
46,47,Placa de Vídeo RTX 3080,Componentes,7000
47,48,Fonte 650W,Componentes,400
48,49,Gabinete Gamer,Acessórios,350
49,50,Headset Bluetooth,Acessórios,250
50,51,Webcam Full HD,Acessórios,300
51,52,Processador Ryzen 7,Componentes,2000
52,53,Memória RAM 16GB,Componentes,800
53,54,Cooler para CPU,Componentes,120
54,55,Mousepad Gamer,Acessórios,60
55,56,Cadeira Gamer,Acessórios,700
56,57,Microfone Condensador,Acessórios,400
57,58,Placa-Mãe B450,Componentes,1000
58,59,Pendrive 64GB,Armazenamento,100
59,60,Roteador Wi-Fi,Redes,200
60,61,Notebook Gamer,Notebooks,5400
61,62,Mouse Óptico,Mouses,120
62,63,Teclado Mecânico,Teclados,350
63,64,"Monitor LED 27""",Monitores,1500
64,65,HD Externo 1TB,Armazenamento,450
65,66,SSD 480GB,Armazenamento,600
66,67,Placa de Vídeo RTX 3080,Componentes,7000
67,68,Fonte 650W,Componentes,400
68,69,Gabinete Gamer,Acessórios,350
69,70,Headset Bluetooth,Acessórios,250
70,71,Webcam Full HD,Acessórios,300
71,72,Processador Ryzen 7,Componentes,2000
72,73,Memória RAM 16GB,Componentes,800
73,74,Cooler para CPU,Componentes,120
74,75,Mousepad Gamer,Acessórios,60
75,76,Cadeira Gamer,Acessórios,700
76,77,Microfone Condensador,Acessórios,400
77,78,Placa-Mãe B450,Componentes,1000
78,79,Pendrive 64GB,Armazenamento,100
79,80,Roteador Wi-Fi,Redes,200
80,81,Notebook Gamer,Notebooks,5400
81,82,Mouse Óptico,Mouses,120
82,83,Teclado Mecânico,Teclados,350
83,84,"Monitor LED 27""",Monitores,1500
84,85,HD Externo 1TB,Armazenamento,450
85,86,SSD 480GB,Armazenamento,600
86,87,Placa de Vídeo RTX 3080,Componentes,7000
87,88,Fonte 650W,Componentes,400
88,89,Gabinete Gamer,Acessórios,350
89,90,Headset Bluetooth,Acessórios,250
90,91,Webcam Full HD,Acessórios,300
91,92,Processador Ryzen 7,Componentes,2000
92,93,Memória RAM 16GB,Componentes,800
93,94,Cooler para CPU,Componentes,120
94,95,Mousepad Gamer,Acessórios,60
95,96,Cadeira Gamer,Acessórios,700
96,97,Microfone Condensador,Acessórios,400
97,98,Placa-Mãe B450,Componentes,1000
98,99,Pendrive 64GB,Armazenamento,100
99,100,Roteador Wi-Fi,Redes,200
